Entity,Entity_Type,Type_Meaning,Start_Char,End_Char,Context
Ragnhild,ORG,"Companies, agencies, institutions, etc.",1413,1421,"To avoid capture, his mother fled with him and his sisters, Ragnhild and Astrid, first to Sweden and then by boat to the U.S., while Harald's father and gran..."
Astrid,LANGUAGE,Any named language,1426,1432,"To avoid capture, his mother fled with him and his sisters, Ragnhild and Astrid, first to Sweden and then by boat to the U.S., while Harald's father and gran..."
first,ORDINAL,"""first"", ""second"", etc.",1434,1439,"To avoid capture, his mother fled with him and his sisters, Ragnhild and Astrid, first to Sweden and then by boat to the U.S., while Harald's father and gran..."
Sweden,GPE,"Countries, cities, states",1443,1449,"To avoid capture, his mother fled with him and his sisters, Ragnhild and Astrid, first to Sweden and then by boat to the U.S., while Harald's father and gran..."
U.S.,GPE,"Countries, cities, states",1474,1478,"To avoid capture, his mother fled with him and his sisters, Ragnhild and Astrid, first to Sweden and then by boat to the U.S., while Harald's father and gran..."
Harald,PERSON,"People, including fictional",1486,1492,"To avoid capture, his mother fled with him and his sisters, Ragnhild and Astrid, first to Sweden and then by boat to the U.S., while Harald's father and gran..."
Britain,GPE,"Countries, cities, states",1537,1544,"To avoid capture, his mother fled with him and his sisters, Ragnhild and Astrid, first to Sweden and then by boat to the U.S., while Harald's father and gran..."
Norway,GPE,"Countries, cities, states",1550,1556,"To avoid capture, his mother fled with him and his sisters, Ragnhild and Astrid, first to Sweden and then by boat to the U.S., while Harald's father and gran..."
Haakon,ORG,"Companies, agencies, institutions, etc.",1572,1578,Haakon's refusal to go along with German demands garnered respect among his people.
German,NORP,Nationalities or religious or political groups,1606,1612,Haakon's refusal to go along with German demands garnered respect among his people.
U.S.,GPE,"Countries, cities, states",1682,1686,"During their time in the U.S., the Norwegian royals were often guests at the White House."
Norwegian,NORP,Nationalities or religious or political groups,1692,1701,"During their time in the U.S., the Norwegian royals were often guests at the White House."
the White House,FAC,"Buildings, airports, highways, bridges, etc.",1730,1745,"During their time in the U.S., the Norwegian royals were often guests at the White House."
Harald,PERSON,"People, including fictional",1747,1753,"Harald was 6 when he carried out his first official duty, christening new warplanes at a Norwegian air base in Canada."
6,DATE,Absolute or relative dates or periods,1758,1759,"Harald was 6 when he carried out his first official duty, christening new warplanes at a Norwegian air base in Canada."
first,ORDINAL,"""first"", ""second"", etc.",1784,1789,"Harald was 6 when he carried out his first official duty, christening new warplanes at a Norwegian air base in Canada."
Norwegian,NORP,Nationalities or religious or political groups,1836,1845,"Harald was 6 when he carried out his first official duty, christening new warplanes at a Norwegian air base in Canada."
Canada,GPE,"Countries, cities, states",1858,1864,"Harald was 6 when he carried out his first official duty, christening new warplanes at a Norwegian air base in Canada."
Norway,GPE,"Countries, cities, states",1894,1900,"The family was reunited in Norway in June 1945, shortly after the end of the war."
June 1945,DATE,Absolute or relative dates or periods,1904,1913,"The family was reunited in Norway in June 1945, shortly after the end of the war."
Harald,PERSON,"People, including fictional",1949,1955,"Harald attended public schools, the Norwegian military college and Oxford University."
Norwegian,NORP,Nationalities or religious or political groups,1985,1994,"Harald attended public schools, the Norwegian military college and Oxford University."
Oxford University,ORG,"Companies, agencies, institutions, etc.",2016,2033,"Harald attended public schools, the Norwegian military college and Oxford University."
Olympic,FAC,"Buildings, airports, highways, bridges, etc.",2057,2064,Like his father - an Olympic champion sailor in 1928 - Harald loved the sea and sailboats.
1928,DATE,Absolute or relative dates or periods,2084,2088,Like his father - an Olympic champion sailor in 1928 - Harald loved the sea and sailboats.
Harald,PERSON,"People, including fictional",2091,2097,Like his father - an Olympic champion sailor in 1928 - Harald loved the sea and sailboats.
Norway,GPE,"Countries, cities, states",2142,2148,"He represented Norway at several Olympics, and in 1987 he skippered his yacht to gold in the World Championships."
Olympics,EVENT,"Named hurricanes, battles, wars, sports events, etc.",2160,2168,"He represented Norway at several Olympics, and in 1987 he skippered his yacht to gold in the World Championships."
1987,DATE,Absolute or relative dates or periods,2177,2181,"He represented Norway at several Olympics, and in 1987 he skippered his yacht to gold in the World Championships."
the World Championships,EVENT,"Named hurricanes, battles, wars, sports events, etc.",2216,2239,"He represented Norway at several Olympics, and in 1987 he skippered his yacht to gold in the World Championships."
Harald,PERSON,"People, including fictional",2242,2248,"Harald married his high school sweetheart  As a young man, Harald was urged to find a bride among the princesses of Europe."
Harald,PERSON,"People, including fictional",2301,2307,"Harald married his high school sweetheart  As a young man, Harald was urged to find a bride among the princesses of Europe."
Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water",2358,2364,"Harald married his high school sweetheart  As a young man, Harald was urged to find a bride among the princesses of Europe."
nine years,DATE,Absolute or relative dates or periods,2370,2380,"For nine years he shunned a series of noblewomen, holding out until he finally won his father's permission to marry his school sweetheart, Sonja Haraldsen, t..."
Sonja Haraldsen,PERSON,"People, including fictional",2505,2520,"For nine years he shunned a series of noblewomen, holding out until he finally won his father's permission to marry his school sweetheart, Sonja Haraldsen, t..."
Olav,PERSON,"People, including fictional",2570,2574,King Olav had feared the marriage would weaken Norway's still-young monarchy.
Norway,GPE,"Countries, cities, states",2612,2618,King Olav had feared the marriage would weaken Norway's still-young monarchy.
Norwegians,NORP,Nationalities or religious or political groups,2652,2662,"Instead, Norwegians greeted the Aug. 29, 1968, wedding with jubilation, and later embraced Sonja as their queen."
"the Aug. 29, 1968",DATE,Absolute or relative dates or periods,2671,2688,"Instead, Norwegians greeted the Aug. 29, 1968, wedding with jubilation, and later embraced Sonja as their queen."
two,CARDINAL,Numerals that do not fall under another type,2771,2774,"The couple had two children, Haakon and his older sister, Märtha Louise."
Haakon,PERSON,"People, including fictional",2785,2791,"The couple had two children, Haakon and his older sister, Märtha Louise."
Louise,PERSON,"People, including fictional",2821,2827,"The couple had two children, Haakon and his older sister, Märtha Louise."
The Norwegian Constitution,LAW,Named documents made into laws.,2830,2856,"The Norwegian Constitution was altered in 1990 to allow the first born, regardless of gender, to take precedence in the line of succession."
1990,DATE,Absolute or relative dates or periods,2872,2876,"The Norwegian Constitution was altered in 1990 to allow the first born, regardless of gender, to take precedence in the line of succession."
first,ORDINAL,"""first"", ""second"", etc.",2890,2895,"The Norwegian Constitution was altered in 1990 to allow the first born, regardless of gender, to take precedence in the line of succession."
Haakon,ORG,"Companies, agencies, institutions, etc.",3026,3032,"However, it was not applied retroactively, meaning that Haakon continued to take precedence over his sister."
Harald,PERSON,"People, including fictional",3085,3091,"When Harald assumed the throne on Jan. 21, 1991, he adopted the same motto his father and grandfather had used: ""All for Norway."""
"Jan. 21, 1991",DATE,Absolute or relative dates or periods,3114,3127,"When Harald assumed the throne on Jan. 21, 1991, he adopted the same motto his father and grandfather had used: ""All for Norway."""
Norway,GPE,"Countries, cities, states",3201,3207,"When Harald assumed the throne on Jan. 21, 1991, he adopted the same motto his father and grandfather had used: ""All for Norway."""
the next years,DATE,Absolute or relative dates or periods,3219,3233,He spent the next years trying to modernize the monarchy.
Harald,PERSON,"People, including fictional",3481,3487,"""  Harald won the praise of the country with an emotional speech at a memorial service after a right-wing extremist, Anders Behring Breivik, killed 77 people..."
Behring Breivik,PERSON,"People, including fictional",3602,3617,"""  Harald won the praise of the country with an emotional speech at a memorial service after a right-wing extremist, Anders Behring Breivik, killed 77 people..."
77,CARDINAL,Numerals that do not fall under another type,3626,3628,"""  Harald won the praise of the country with an emotional speech at a memorial service after a right-wing extremist, Anders Behring Breivik, killed 77 people..."
Norway,GPE,"Countries, cities, states",3663,3669,"""  Harald won the praise of the country with an emotional speech at a memorial service after a right-wing extremist, Anders Behring Breivik, killed 77 people..."
2011,DATE,Absolute or relative dates or periods,3673,3677,"""  Harald won the praise of the country with an emotional speech at a memorial service after a right-wing extremist, Anders Behring Breivik, killed 77 people..."
Norwegian,NORP,Nationalities or religious or political groups,3794,3803,I remain convinced in the belief of an open Norwegian democracy and society.
2016,DATE,Absolute or relative dates or periods,3941,3945,"In 2016, Harald gave an unexpected and impassioned speech in support of LGBTQ+ equality, refugees and religious tolerance, saying ""Norwegians are girls who l..."
Harald,PERSON,"People, including fictional",3947,3953,"In 2016, Harald gave an unexpected and impassioned speech in support of LGBTQ+ equality, refugees and religious tolerance, saying ""Norwegians are girls who l..."
Norwegians,NORP,Nationalities or religious or political groups,4069,4079,"In 2016, Harald gave an unexpected and impassioned speech in support of LGBTQ+ equality, refugees and religious tolerance, saying ""Norwegians are girls who l..."
Norwegians,NORP,Nationalities or religious or political groups,4186,4196,"He added that many Norwegians have emigrated from Afghanistan, Pakistan, Poland and other countries and that they ""believe in God, Allah, the universe and no..."
Afghanistan,GPE,"Countries, cities, states",4217,4228,"He added that many Norwegians have emigrated from Afghanistan, Pakistan, Poland and other countries and that they ""believe in God, Allah, the universe and no..."
Pakistan,GPE,"Countries, cities, states",4230,4238,"He added that many Norwegians have emigrated from Afghanistan, Pakistan, Poland and other countries and that they ""believe in God, Allah, the universe and no..."
Poland,GPE,"Countries, cities, states",4240,4246,"He added that many Norwegians have emigrated from Afghanistan, Pakistan, Poland and other countries and that they ""believe in God, Allah, the universe and no..."
Scandinavian,NORP,Nationalities or religious or political groups,4381,4393,The public speech extolled the diversity of the Scandinavian nation and was viewed on social media by millions.
millions,CARDINAL,Numerals that do not fall under another type,4435,4443,The public speech extolled the diversity of the Scandinavian nation and was viewed on social media by millions.
Swedish,NORP,Nationalities or religious or political groups,4612,4619,"Recent scandals have put royal family under scrutiny  During his reign, the royal family suffered relatively few of the scandals that have plagued their peer..."
British,NORP,Nationalities or religious or political groups,4624,4631,"Recent scandals have put royal family under scrutiny  During his reign, the royal family suffered relatively few of the scandals that have plagued their peer..."
Harald,PERSON,"People, including fictional",4655,4661,"Recent scandals have put royal family under scrutiny  During his reign, the royal family suffered relatively few of the scandals that have plagued their peer..."
Märtha Louise,PERSON,"People, including fictional",4673,4686,"Recent scandals have put royal family under scrutiny  During his reign, the royal family suffered relatively few of the scandals that have plagued their peer..."
American,NORP,Nationalities or religious or political groups,4802,4810,"Recent scandals have put royal family under scrutiny  During his reign, the royal family suffered relatively few of the scandals that have plagued their peer..."
Norwegian,NORP,Nationalities or religious or political groups,4848,4857,"The Norwegian royal family did face unflattering attention in early 2026 as Harald's daughter-in-law, Crown Princess Mette-Marit, faced renewed scrutiny over..."
early 2026,DATE,Absolute or relative dates or periods,4906,4916,"The Norwegian royal family did face unflattering attention in early 2026 as Harald's daughter-in-law, Crown Princess Mette-Marit, faced renewed scrutiny over..."
Harald,PERSON,"People, including fictional",4920,4926,"The Norwegian royal family did face unflattering attention in early 2026 as Harald's daughter-in-law, Crown Princess Mette-Marit, faced renewed scrutiny over..."
Crown Princess Mette-Marit,PRODUCT,"Objects, vehicles, foods, etc. (not services)",4946,4972,"The Norwegian royal family did face unflattering attention in early 2026 as Harald's daughter-in-law, Crown Princess Mette-Marit, faced renewed scrutiny over..."
Jeffrey Epstein,PERSON,"People, including fictional",5045,5060,"The Norwegian royal family did face unflattering attention in early 2026 as Harald's daughter-in-law, Crown Princess Mette-Marit, faced renewed scrutiny over..."
Mette-Marit,PERSON,"People, including fictional",5148,5159,"Mette-Marit apologized for the situation she put the royal family in, part of a broader apology for all those she had ""disappointed."
Marius Borg Høiby,PERSON,"People, including fictional",5324,5341,"""  At around the same time, her eldest son, Marius Borg Høiby, was convicted of rape in a high-profile trial and sentenced to four years in prison."
four years,DATE,Absolute or relative dates or periods,5406,5416,"""  At around the same time, her eldest son, Marius Borg Høiby, was convicted of rape in a high-profile trial and sentenced to four years in prison."
Høiby,PERSON,"People, including fictional",5428,5433,"Høiby, Mette-Marit's son from a previous relationship before she met Haakon, has no royal titles or official duties."
Mette-Marit's,PERSON,"People, including fictional",5435,5448,"Høiby, Mette-Marit's son from a previous relationship before she met Haakon, has no royal titles or official duties."
Haakon,PERSON,"People, including fictional",5497,5503,"Høiby, Mette-Marit's son from a previous relationship before she met Haakon, has no royal titles or official duties."
January 2024,DATE,Absolute or relative dates or periods,5549,5561,"In January 2024, after the abdication of Denmark's Queen Margrethe - his second cousin - Harald said that he stood by the oath he made when ascending the thr..."
Denmark,GPE,"Countries, cities, states",5587,5594,"In January 2024, after the abdication of Denmark's Queen Margrethe - his second cousin - Harald said that he stood by the oath he made when ascending the thr..."
second,ORDINAL,"""first"", ""second"", etc.",5619,5625,"In January 2024, after the abdication of Denmark's Queen Margrethe - his second cousin - Harald said that he stood by the oath he made when ascending the thr..."
Harald,PERSON,"People, including fictional",5635,5641,"In January 2024, after the abdication of Denmark's Queen Margrethe - his second cousin - Harald said that he stood by the oath he made when ascending the thr..."
2024,DATE,Absolute or relative dates or periods,5813,5817,"However, he was hospitalized twice on foreign trips after that, including during a 2024 vacation in Malaysia when he was fitted with a pacemaker and while de..."
Malaysia,GPE,"Countries, cities, states",5830,5838,"However, he was hospitalized twice on foreign trips after that, including during a 2024 vacation in Malaysia when he was fitted with a pacemaker and while de..."
February 2026,DATE,Absolute or relative dates or periods,5924,5937,"However, he was hospitalized twice on foreign trips after that, including during a 2024 vacation in Malaysia when he was fitted with a pacemaker and while de..."
Spanish,NORP,Nationalities or religious or political groups,5953,5960,"However, he was hospitalized twice on foreign trips after that, including during a 2024 vacation in Malaysia when he was fitted with a pacemaker and while de..."
Tenerife,GPE,"Countries, cities, states",5971,5979,"However, he was hospitalized twice on foreign trips after that, including during a 2024 vacation in Malaysia when he was fitted with a pacemaker and while de..."
